refdes	refdes	device	value	
D12	D12	LED	unknown	
D11	D11	LED	unknown	
D10	D10	LED	unknown	
D9	D9	LED	unknown	
D8	D8	LED	unknown	
D7	D7	LED	unknown	
D6	D6	LED	unknown	
D5	D5	LED	unknown	
D4	D4	LED	unknown	
D3	D3	LED	unknown	
D2	D2	LED	unknown	
R4	R4	RESISTOR	unknown	
R3	R3	RESISTOR	unknown	
R2	R2	RESISTOR	unknown	
R1	R1	RESISTOR	unknown	
J1	J1	CONNECTOR_6	unknown	
D1	D1	LED	unknown	
